Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score,Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Taxation
m EUR","Cash Out(In)flow Investing Activ.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Acquisition & Disposal
m EUR","Equity Dividends Paid
m EUR","Management of Liquid Resources
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Asset Cover (x),Year,D/N
PORTBOND LIMITED,No,No,No,No,No,M1 4PB,6840851,38320,31/10/2018,"Active, in administration",,,,,,,,,PORTBOND LIMITED,20,19.45,16,11.31,7.86,9.81,20.41,1,10.66,14.75,1.15,1.51,13.27,3.37,5.47,66.76,44.47,1.53,0.75,1.39,40.39,67.75,89.84,"30,866","158,685",-2,,,,0,,,,4,1,4.44,2016,D
THE ON-SITE GROUP LIMITED,No,No,No,No,No,SO14 2AQ,6912781,78200,31/03/2018,"Active, in administration",,,,,,,,,,6,-429.44,19,-421.78,-5.05,-1.49,10.82,1,-1.49,-1.28,282.15,247.21,,,4.27,85.4,12.89,1,1,55.01,1.18,1.19,1.82,"-2,817",656,1,0,0,,0,,,,0,0,,2016,D
HOMESTYLE GROUP OPERATIONS LIMITED,No,No,No,No,No,LS1 4DL,3130486,70100,29/09/2018,"Active, in administration",,,,,,,,,STEINHOFF INTERNATIONAL HOLDINGS N.V.,15,0.19,42,0.19,0.19,0.09,0.09,,0.09,,2.19,2.21,,,,,,2.07,2.07,,99.48,,0.48,"28,800",,,,,,,,,,,,,2016,D
TRADEWISE GROUP OF COMPANIES LIMITED,No,No,No,No,No,NW1 1DB,8787722,64205,31/12/2018,"Active, in administration",,,,,,,,,MR JAMES HUMPHREYS,29,,25,-375.37,-14.35,-16.2,56.27,1,-8.64,-1.44,23.17,2.19,-4.34,,5.65,64.57,174.31,0.62,0.62,-0.92,-42.59,,,"-22,341",,5,0,0,,-1,,,,-1,3,2.27,2016,D
BD PROPCO REALISATIONS LIMITED,No,No,No,No,No,B3 3HN,4464946,68201,01/09/2018,"Active, in administration",,,,,,,,,GH ONE LIMITED,3,,13,22.36,8.24,1.81,1.81,,1.81,4.21,12.33,17.44,,,238.5,1.53,21.56,1.17,1.17,-0.23,-11.26,,,,,,,,,,,,,,,,2016,D
BONDSHOLD LIMITED,No,No,No,No,No,B3 3HN,7340819,24520,30/09/2017,"Active, in administration",,,,,,,,,MR PAUL DUNCAN,18,-14.54,17,-10.52,-5.25,-5.63,,,-4.46,-5.08,1.87,2.12,-3.81,4.77,3.57,102.36,82.8,1.12,0.73,2.62,36.11,56.53,40.08,"-3,666","25,205",0,0,0,,0,,,,1,0,10.85,2016,D
ASHLEY HOUSE PLC.,No,No,No,No,No,LS1 2HJ,2563627,41100,30/04/2018,"Active, in administration",,,,,,,,,ASHLEY HOUSE PLC.,15,6.29,27,5.32,2.09,1.16,23.11,1,3.53,3.81,4.58,6.75,1.49,7.39,3.82,95.49,37.81,1.21,0.81,5.49,33.27,49.86,56.9,"8,580","136,454",0,0,0,0,,,,,-1,-1,21.86,2016,D
OASIS FASHIONS RETAIL LIMITED,No,No,No,No,No,B3 3HN,6822670,70100,02/03/2019,"Active, in administration",,,,,,,,,KAUPTHING EHF.,8,,25,,,,,,,,5.16,8.91,,,,,,1.62,1.62,4.43,48.44,93.94,22.58,,,,,,,,,,,,,,2016,D
WREXHAM WIRE LIMITED,No,No,No,No,No,M2 4AB,8869479,64999,31/12/2018,"Active, in administration",,,,,,,,,MR JAMIE CHRISTOPHER CONSTABLE,6,-20.81,15,-4.88,-1.21,-0.62,37.48,1,1.34,3.46,7.86,3.91,0.68,11.93,6.76,53.99,32.66,0.67,0.45,0.31,5.79,6.15,,"-1,015","4,878",,,,,,,,,,,5.29,2016,D
THE CLARENDON OFFICE GROUP LTD.,No,No,No,No,No,M3 5EN,9709654,64209,30/11/2019,"Active, in administration",,,,,,,,,THE CLARENDON OFFICE GROUP LTD.,15,70.93,18,18.33,14.05,15.94,98.23,1,17.25,27.51,1.15,1.14,13.15,,168.44,2.17,9.02,0.98,0.98,0.35,19.82,24.71,326.99,"46,654","65,778",,,,,,,,,,,4.25,2016,D
HPS MARKETING COMMUNICATIONS LIMITED,No,No,No,No,No,SE1 9SG,4114693,73110,31/10/2017,"Active, in administration",,,,,,,,,MR MARK CHARLES CORNWELL,8,95.74,19,78.75,27.45,10.71,62.14,1,11.53,11.81,7.35,221.18,13.96,,5.3,68.9,23.5,1.52,1.52,4.64,28.67,40.19,62.16,"14,296","14,933",,,,,,,,,,,16.64,2016,D
SIS DIGITAL MEDIA LIMITED,No,No,No,No,No,WC2N 6JU,8667253,73110,31/12/2017,"Active, in administration",,,,,,,,,SIS DIGITAL VISION LIMITED,10,21.54,15,12.88,1.6,1.04,5.41,2,2.27,4.87,12.34,33.36,1.85,,1.71,213.74,,1.09,1.09,1.49,7.44,8.04,820.02,"156,202",,,,,,,,,,,,20.49,2016,D
HOWARD CONTRACTORS LIMITED,No,No,No,No,No,BS1 6FL,4536413,41201,30/06/2017,"Active, in administration",,,,,,,,,MR ANDREW HOWARD,5,,25,,7.44,1.59,9.01,1,1.62,2.04,,32.99,53.41,40.38,8.95,40.78,66.04,0.85,0.74,-1.09,-5.3,,,"5,021",,-1,0,,,0,,,,0,-1,198.23,2016,D
PH REALISATIONS 2020 LIMITED,No,No,No,No,No,SP3 4UF,8422119,77291,31/12/2018,"Active, in administration",,,,,,,,,PH REALISATIONS 2020 LIMITED,22,8.07,19,0.38,0.2,0.24,69.84,1,5.76,28.18,1.62,1.15,1.04,73.63,6.47,56.45,42.89,0.54,0.52,0.05,2.5,2.56,,229,"2,835",4,-1,0,,-9,,,,5,-1,2.13,2016,D
DOLFIN FINANCIAL (UK) LTD,No,No,No,No,No,EC2R 6AY,7431519,82990,31/12/2019,"Active, in administration",,,,,,,,,DOLFIN GROUP LTD,6,8.98,8,8.98,6.12,4.49,,,3.67,3.73,2,33.23,,,221.14,1.65,9.68,3.01,3.01,,68.1,,34.42,"8,976","99,949",-2,0,,,0,,,,1,0,,2016,D
BAM PARENTCO (2) LIMITED,No,No,No,No,No,EC4N 6EU,9176133,64209,30/09/2019,"Active, in administration",,,,,,,,,MR TIMOTHY JAMES BOLOT,41,,14,41.02,-3.02,-8.66,27.09,1,2.36,6.1,,0.37,0.21,,13.35,27.35,7.12,0.06,0.06,,-7.4,,,"-2,536",,2,-2,,,0,,,,-1,0,,2016,D
KAREN MILLEN RETAIL LIMITED,No,No,No,No,No,B3 3HN,6822157,70100,24/02/2018,"Active, in administration",,,,,,,,,KAREN MILLEN HOLDCO 1 LIMITED,8,,19,,,,100,1,0.65,2.61,38.25,15.3,1,,,,,0.89,0.89,-0.56,-8.2,,,,,,,,,,,,,,,,2016,D
CLARENDON ENTERPRISE CENTRE LIMITED,No,No,No,No,No,M3 5EN,3465358,68320,30/11/2019,"Active, in administration",,,,,,,,,THE CLARENDON OFFICE GROUP LTD.,8,111.43,10,47.92,39.26,30.36,97.43,1,30.36,37.31,1.58,3.25,,,175.53,2.08,4.72,3.33,3.33,0.75,35.23,54.4,132.51,"85,383","76,626",,,,,,,,,,,,2016,D
ROBERTS JACKSON LIMITED,No,No,No,No,No,BN1 4EA,6895109,69102,31/07/2016,"Active, in administration",,,,,,,,,,14,53.24,13,51.77,9.76,10.27,99.42,1,13.97,16.09,5.04,53.42,3.77,135.2,1.7,215.28,11.53,1.21,1.2,35.22,18.32,22.43,305.68,"7,021","13,187",,,,,,,,,,,240.25,2016,D
DINING STREET LIMITED,No,No,No,No,No,EC4M 7QS,3517191,56101,30/12/2018,"Active, in administration",,,,,,,,,DINING STREET LIMITED,9,-170.17,16,-152.39,-87.75,-50.27,-1.13,0,-50.32,-6.23,3.03,5.03,,67.27,579.13,0.63,33.07,1.54,1.48,8.57,51.57,,11.66,"-22,850","13,428",0,0,,-3,,,,,2,-1,,2016,D
PT REALISATIONS 2020 LIMITED,No,No,No,No,No,SP3 4UF,2370730,77291,31/12/2018,"Active, in administration",,,,,,,,,PH REALISATIONS 2020 LIMITED,12,-22.1,11,-11.82,-4.79,-5.29,57.22,1,-2.97,20.72,2.23,1.4,-1.28,166.27,5.43,67.17,54.96,0.59,0.58,1.15,21.68,27.68,272.55,"-4,116","18,622",,,,,,,,,,,5.71,2016,D
DHAIS LIMITED,No,No,No,No,No,M1 4PB,4228169,47741,04/01/2019,"Active, in administration",,,,,,,,,JARVIS SECURITIES PLC,4,-130.29,12,-18.43,-8.17,-2.99,57.61,1,-2,0.55,6.16,4.68,-2.03,21.63,22.12,16.5,47.8,0.75,0.52,0.16,6.27,6.69,695.24,"-2,985","2,291",0,,,0,,,,,0,0,2.63,2016,D
BARRY WOOD PLANT HIRE LIMITED,No,No,No,No,No,BN1 2NW,2997389,43999,31/10/2017,"Active, in administration",,,,,,,,,SUSTAINABLE QUARRYING AND TANKER SERVICES GROUP LTD,13,-0.11,8,-0.09,-0.07,-0.11,8.88,1,0.98,10.94,0.82,1.9,0.9,,5.16,70.67,23.56,3.5,3.5,4.54,66.73,,39.28,-140,"127,103",1,0,0,,-2,,,,1,0,7.07,2016,D
OAKAM LTD,No,No,No,No,No,ME4 4QU,5878249,64921,30/06/2020,"Active, in administration",,,,,,,,,AKROD LIMITED,37,,25,-13.72,-12.58,-18.81,99.9,1,-11.22,-6.31,0.73,12.35,-1.43,,0.77,472.3,10.69,11.37,11.37,-0.35,-49.8,,,"-18,927",,,,,,,,,,,,0.71,2016,D
CASH ON GO LIMITED,No,No,No,No,No,EC2R 6AY,7306662,64921,31/12/2018,"Active, in administration",,,,,,,,,SIA SMART FINANCE HOLDING,3,,5,112.2,-135.73,-81.97,,,-62.58,-52.74,,3.81,,,49.5,7.37,14.8,0.26,0.26,-2.42,,,,"-67,256",,1,-1,,-1,,,,,0,0,1.17,2016,D
BRISTOL & LONDON PLC,No,No,No,No,No,NW1 1DB,3662032,77110,31/12/2019,"Active, in administration",,,,,,,,,,7,26.81,9,13.62,6.4,5.38,26.98,1,8.65,15.14,2.53,3.45,2.65,,2.24,163.22,16.22,1.24,1.24,1.03,23.87,31.36,207.85,"10,085","37,613",,,,,,,,,,,4.33,2016,D
EAD SOLICITORS LLP,No,No,No,No,No,M3 5EN,OC334289,69102,30/04/2017,"Active, in administration",,,,,,,,,MOUNT CAPITAL DANER LIMITED,6,,9,,,,,,34.41,34.55,8.97,252.21,1,,1.83,199.94,13.88,1.21,1.21,,,,,,,3,0,,,,,,,-3,0,5.62,2016,D
8 OUTDOOR MEDIA LIMITED,No,No,No,No,No,WC2N 6JU,9449118,73110,31/12/2016,"Active, in administration",,,,,,,,,SIS DIGITAL VISION LIMITED,11,555.5,8,27.12,9.62,13.5,43.53,1,13.5,17.58,2.01,0.9,,,5.7,64.06,60.15,0.32,0.32,0.05,1.73,1.76,,"47,284","8,512",,,,,,,,,,,3.77,2016,D
KOOVS PLC,No,No,No,No,No,EC4N 6EU,8166410,46420,31/03/2019,"Active, in administration",,,,,,,,,KOOVS PLC,17,-191.22,7,-186.4,-123.69,,-45.84,0,,,0.58,0.75,,1.8,59.75,6.11,157.01,1.46,0.82,38.74,64.68,,18.26,"-115,731","60,524",-19,0,,14,,,,,7,2,199.04,2016,D
HH LAW LIMITED,No,No,No,No,No,M3 5EN,6909220,69102,31/03/2019,"Active, in administration",,,,,,,,,MSB LAW LLP,7,20.68,19,9.63,6.27,2.37,61.22,1,2.41,3.03,4.07,58.56,46.48,,4.62,78.97,10.6,2.74,2.74,0.87,30.34,43.55,122.35,"2,429","11,745",0,0,0,,0,,,,,0,,2016,D
AVANTA LONDON LIMITED,No,No,No,No,No,WC1V 6RL,6145147,68209,31/12/2019,"Active, in administration",,,,,,,,,IWG PLC,6,,6,6.73,-3.47,-3.34,15.7,1,-1.72,14.14,,2.99,-1.07,,3.95,92.29,1.19,0.43,0.43,,-51.55,,,,,,,,,,,,,,,,2016,D
WMC RETAIL PARTNERS PLC,No,No,No,No,No,B2 5PP,636475,68209,31/12/2016,"Active, in administration",,,,,,,,,JAMES SHARP & CO LLP,9,-62.22,5,-23.23,-18.41,-32.96,16.42,0,-29.79,-5.1,0.7,0.6,-9.41,,25.5,14.31,50.18,0.35,0.35,0.6,29.59,42.02,191.61,"-34,639","55,671",0,0,0,,-1,,,,0,0,2.23,2016,D
WESTGATE CREDIT LIMITED,No,No,No,No,No,B94 6NW,6220221,64921,30/12/2017,"Active, in administration",,,,,,,,,INTRINSIC EQUITY LIMITED,4,,11,-0.12,1.05,0.37,91.24,1,0.37,1.36,,4.16,,391.17,,,9.29,0.03,0.03,,,,,393,,,,,,,,,,,,,2016,D
LAVA MAYFAIR LIMITED,No,No,No,No,No,SL6 1RX,10024718,68209,30/12/2018,"Active, in administration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,D
AFX MARKETS LTD,No,No,No,No,No,M2 4DU,7612002,64191,30/04/2018,"Active, in administration",,,,,,,,,,1,9.54,1,9.54,2.21,3.06,99.87,1,3.06,,3.12,,,,,,60.51,1.3,1.3,,23.16,30.14,,"4,567","47,854",0,,,,0,,,,,0,,2016,D
HIGHLAND LOUGHBOROUGH LIMITED,No,No,No,No,No,EC2R 6AY,4080194,68209,31/12/2018,"Active, in administration",,,,,,,,,ARES LIFE SCIENCES L.P.,34,-3.02,3,-3,-2.83,-33.21,,,96.41,,0.09,0.09,,,15.1,24.18,2.98,1.09,1.09,129.14,93.63,,0.77,"-478,264",,,,,,,,,,,,,2016,D
TIBER CAPITAL LLP,No,No,No,No,No,WC1V 6RL,OC366295,66190,31/03/2019,"Active, in administration",,,,,,,,,,2,-19.13,2,-19.13,-18.58,-25.31,95.32,1,15.36,26.58,0.76,3.46,,,44.66,8.17,6.31,27.3,27.3,,97.11,,,"-42,513","222,225",1,,,,,,,,-1,0,,2016,D
REYKER SECURITIES PLC,No,No,No,No,No,EC2R 6AY,1747595,66300,31/12/2018,"Active, in administration",,,,,,,,,REYKER SECURITIES PLC,4,15.43,4,14.2,9.71,9.5,98.5,1,9.5,12.31,1.5,4.62,,,26.11,13.98,13.25,2.46,2.46,11.53,62.88,,8.67,"11,376","73,706",1,,,,,,,,0,1,,2016,D
LIBERTY SIPP LIMITED,No,No,No,No,No,M3 5EN,6365953,66110,31/03/2018,"Active, in administration",,,,,,,,,MR IAN CURRIE,2,-6.26,2,-6.23,-5.15,-5.89,38.39,1,-1.06,-0.1,1.06,3.14,,,18.96,19.25,46.33,4.17,4.17,183.61,82.24,,0.54,"-3,308","52,798",,,,,,,,,,,,2016,D
T F S LOANS LIMITED,No,No,No,No,No,NW1 1DB,6542065,64999,31/12/2020,"Active, in administration",,,,,,,,,THE  FINANCE STORE LIMITED,26,491.1,8,3.99,2.7,8.96,93.2,2,44.53,46.13,0.45,42.18,1.25,,0.33,,7.99,3.08,3.08,0.01,0.55,0.55,,"14,587","2,970",1,,,,0,,,,-2,-1,1.5,2016,D
BRACKNELL PROPERTY OPCO LIMITED,No,No,No,No,No,EC4R 9AN,7893682,68209,31/03/2020,"Active, in administration",,,,,,,,,HARCOURT CAPITAL LLP,1,124.24,4,124.24,21.22,3.41,68.39,1,3.41,3.44,36.47,174.21,,274.37,35.64,10.24,6.88,1.16,1.14,,17.08,20.59,,,,,,,,,,,,,,,2016,D
BUSINESS LOAN NETWORK LIMITED,No,No,No,No,No,SE1 9SG,7248014,66110,31/12/2019,"Active, in administration",,,,,,,,,ESF CAPITAL LIMITED,5,-43.09,1,-41.6,-38.38,,68.16,0,,-98.97,0.41,9.68,,,298.29,1.22,47.97,12.44,12.44,27.91,89.08,,3.58,"-84,219","195,455",,,,,,,,,,,,2016,D
MANCHESTER FOUNTAIN STREET CENTRE LIMITED,No,No,No,No,No,WC1V 6RL,7705535,68209,31/12/2019,"Active, in administration",,,,,,,,,IWG PLC,1,,2,0.63,-0.8,-0.27,21.01,1,1.14,3.3,,35.36,0.81,,8.2,44.49,0.98,0.4,0.4,,,,,,,,,,,,,,,,,,2016,D
LONDON MONUMENT CENTRE LIMITED,No,No,No,No,No,WC1V 6RL,6955648,68320,31/12/2019,"Active, in administration",,,,,,,,,IWG PLC,1,,5,-5.97,17.74,4.24,26.65,1,7.88,,,,2.17,,11.08,32.93,0.09,0.25,0.25,,,,,,,,,,,,,,,,,,2016,D
ORWELL GROUP HOLDING LTD,No,No,No,No,No,EC4N 6EU,7706658,70100,31/03/2018,"Active, in administration",,,,,,,,,ORWELL GROUP HOLDING LTD,8,,3,-96.67,-73.9,,100,0,,,0.39,0.55,-53.83,,21.83,16.72,137.11,1.93,1.93,-0.47,-66.62,,,"-109,871",,-6,,,,-2,,,,7,0,0.7,2016,D
EV PROPCO REALISATIONS LIMITED,No,No,No,No,No,B3 3HN,4464936,68201,01/09/2018,"Active, in administration",,,,,,,,,GH ONE LIMITED,0,,2,-11.27,-7.69,-1.34,5.24,,-1.34,8.45,8.41,13.62,,,,,9.36,1.82,1.82,-0.03,-2.01,,,,,,,,,,,,,,,1.42,2016,D
READING THEALE CENTRE LIMITED,No,No,No,No,No,WC1V 6RL,7158093,68320,31/12/2019,"Active, in administration",,,,,,,,,IWG PLC,1,,2,7.63,-57.58,-17.24,9.54,0,-11.18,,,,-1.85,,9.81,37.22,4.08,0.12,0.12,,,,,,,,,,,,,,,,,,2016,D
MAIDENHEAD BELL STREET CENTRE LIMITED,No,No,No,No,No,PR1 3JJ,7496745,68209,31/12/2020,"Active, in administration",,,,,,,,,IWG PLC,1,,1,13.18,-23.67,-12.63,8.99,0,-11.15,-11.04,,146.5,-7.54,,10.72,34.05,1.66,0.35,0.35,,,,,,,,,,,,,,,,,,2016,D
AFFINITY CORPORATION LTD,No,No,No,No,No,DA14 6NZ,8179337,68100,31/08/2017,"Active, in administration",,,,,,,,,MR TIMOTHY MARK MOTYER,36,237.9,1,31.05,14.7,,2.3,17,,,0.05,0.04,3.89,0.98,24.72,14.77,58.96,0.75,0.71,0.15,6.18,6.58,842.83,,,1,0,,,0,,,,-1,0,3.37,2016,D
QH (UK) REALISATIONS LIMITED,No,No,No,No,No,CO3 3AD,8104859,68320,31/12/2019,"Active, in administration",,,,,,,,,KIM BOTTGER,2,-57.44,7,-44.91,-5.47,-1.45,,,0.3,2.57,31.03,21.32,0.17,,12.76,28.61,22.81,0.94,0.94,3.58,9.53,10.53,27.92,"-2,525","4,395",,,,,,,,,,,,2016,D
MS PROPCO REALISATIONS LIMITED,No,No,No,No,No,B3 3HN,954960,68320,01/09/2018,"Active, in administration",,,,,,,,,GH ONE LIMITED,0,-38.66,0,-38.66,-31.12,-33.78,-33.78,,-33.78,-17.57,1.14,,,,,,26.31,5.13,5.13,,80.5,,,,,,,,,,,,,,,,2016,D
TOWN AND COUNTRY MARKETS [LUTON] LIMITED,No,No,No,No,No,B2 5PP,4530535,68209,31/12/2016,"Active, in administration",,,,,,,,,JAMES SHARP & CO LLP,5,,1,-24.5,-6.87,-52.5,25.82,0,-31.5,-23.06,0.47,0.29,-0.47,,145.25,2.51,82.3,0.76,0.76,-0.14,-4.52,,,"-59,326",,,,,,,,,,,,3.4,2016,D
CHAINRANGE LIMITED,No,No,No,No,No,WC1V 6RL,2086427,68209,31/12/2019,"Active, in administration",,,,,,,,,IWG PLC,0,,1,671.62,-143.23,-57.86,-37.02,-2,-57.63,,,,,,10.23,35.69,1.7,0.82,0.82,-1.59,-57.35,,,,,,,,,,,,,,,,2016,D
CASTLEOAK HOLDINGS (CARDIFF GATE) LIMITED,No,No,No,No,No,EC4M 7QS,6361666,70100,31/03/2019,"Active, in administration",,,,,,,,,CASTLEOAK HOLDINGS LIMITED,5,,1,20.66,9.38,89,,,76.08,,0.23,0.11,3.29,,,,,0.06,0.06,0.02,0.76,0.76,,,,,,,,,,,,,,2.24,2016,D
PARKER NORFOLK AND PARTNERS LIMITED,No,No,No,No,No,M2 4AB,2619479,65120,30/09/2019,"Active, in administration",,,,,,,,,MAVEN CO-INVEST DEF LIMITED PARTNERSHIP,0,-100.56,0,-100.56,-59.25,,100,0,,,0.2,,,,1.3,281.02,737.15,2.43,2.43,,58.92,,,"-62,927","62,575",,,,,,,,,,,,2016,D
API-STACE LIMITED,No,No,No,No,No,M2 3EY,2850332,68209,31/12/2017,"Active, in administration",,,,,,,,,"STEEL PARTNERS, LTD.",2,29.07,0,13.38,12.67,75.15,81.82,,81.82,100,0.18,0.24,12.27,,,,,5.36,5.36,0.85,43.56,77.19,128.37,,,,,,,,,,,,,1.96,2016,D
CLUGSTON ESTATES LIMITED,No,No,No,No,No,LS1 4JF,246469,70100,31/01/2018,"Active, in administration",,,,,,,,,CLUGSTON GROUP LIMITED,7,181.2,1,181.2,48.94,,,,-9.28,,0.35,0.26,,,,,,0.88,0.88,,27.01,37,235.95,,,,,,,,,,,,,,2016,D
KRONO PARTNERS LIMITED,No,No,No,No,No,BS1 6NA,8399743,64205,30/06/2016,"Active, in administration",,,,,,,,,MR CHRISTIAN MACHHOLDT OSTERGAARD,4,,0,-2.24,-2.2,-23.96,3.26,0,-23.97,,0.09,0.09,,,,,,0.79,0.79,-0.13,-14.43,,,,,0,0,,,0,,,,0,0,0.89,2016,D
BAM PROPCO LIMITED,No,No,No,No,No,EC4N 6EU,8526707,68209,30/09/2019,"Active, in administration",,,,,,,,,MR TIMOTHY JAMES BOLOT,5,,0,7.11,-2.63,-60.04,,,83.04,,,0.05,0.58,,,,25.78,0.09,0.09,,-36.99,,,"-41,787",,,,,,,,,,,,,2016,D
